Date,Adj Close,Close,High,Low,Open,Volume
2011-12-12,88.73666381835938,120.23999786376953,120.95999908447266,119.37999725341797,120.91000366210938,6291500
2011-12-13,88.19793701171875,119.51000213623047,121.48999786376953,119.05000305175781,120.91000366210938,7761800
2011-12-14,87.3197021484375,118.31999969482422,119.48999786376953,117.91000366210938,119.08000183105469,10062700
2011-12-15,87.68135070800781,118.80999755859375,119.75,118.58000183105469,119.58999633789062,5261400
2011-12-16,87.5081558227539,118.22000122070312,119.4000015258789,117.88999938964844,119.0999984741211,7758400
2011-12-19,86.87154388427734,117.36000061035156,118.9800033569336,117.05000305175781,118.6500015258789,7977500
2011-12-20,89.3290786743164,120.68000030517578,120.87999725341797,119.06999969482422,119.11000061035156,7867300
2011-12-21,89.42529296875,120.80999755859375,120.87000274658203,119.69000244140625,120.80000305175781,6679800
2011-12-22,89.95824432373047,121.52999877929688,121.55000305175781,120.91000366210938,121.13999938964844,4202800
2011-12-23,90.7724838256836,122.62999725341797,122.68000030517578,121.5,121.69999694824219,2281300
2011-12-27,90.80207824707031,122.66999816894531,123.0,122.4000015258789,122.4800033569336,3878700
2011-12-28,89.75093078613281,121.25,122.72000122070312,121.12999725341797,122.66000366210938,3871400
2011-12-29,90.69099426269531,122.5199966430664,122.68000030517578,121.45999908447266,121.5199966430664,5133600
2011-12-30,90.19507598876953,121.8499984741211,122.62999725341797,121.83999633789062,122.33000183105469,4734000
2012-01-03,91.51265716552734,123.62999725341797,124.52999877929688,123.61000061035156,123.94000244140625,7175100
2012-01-04,91.76432800292969,123.97000122070312,124.05000305175781,123.11000061035156,123.4000015258789,7625200
2012-01-05,91.74951934814453,123.94999694824219,124.11000061035156,122.58999633789062,123.45999908447266,8678900
2012-01-06,91.43869018554688,123.52999877929688,124.08000183105469,123.13999938964844,124.08000183105469,7488600
2012-01-09,91.53484344482422,123.66000366210938,123.91000366210938,123.13999938964844,123.69000244140625,5881800
2012-01-10,92.06777954101562,124.37999725341797,125.0,124.2699966430664,124.87999725341797,5274400
2012-01-11,92.00123596191406,124.29000091552734,124.44999694824219,123.80000305175781,124.04000091552734,4890300
2012-01-12,92.17889404296875,124.52999877929688,124.66999816894531,123.66000366210938,124.5,5591300
2012-01-13,91.90499114990234,124.16000366210938,124.16000366210938,122.91999816894531,123.70999908447266,6392100
2012-01-17,92.24551391601562,124.62000274658203,125.56999969482422,124.45999908447266,125.04000091552734,5348800
2012-01-18,92.9856948852539,125.62000274658203,125.72000122070312,124.41000366210938,124.52999877929688,6473000
2012-01-19,93.3927993774414,126.16999816894531,126.18000030517578,125.5199966430664,125.98999786376953,8095300
2012-01-20,94.1021499633789,126.95999908447266,126.95999908447266,125.94999694824219,126.04000091552734,6995400
2012-01-23,93.99092864990234,126.80999755859375,127.36000061035156,126.37999725341797,126.88999938964844,5166800
2012-01-24,93.70926666259766,126.43000030517578,126.55000305175781,125.87000274658203,126.0999984741211,4798200
2012-01-25,94.31708526611328,127.25,127.5199966430664,125.47000122070312,126.05999755859375,9642500
2012-01-26,94.17623901367188,127.05999755859375,128.1300048828125,126.6500015258789,127.8499984741211,5902300
2012-01-27,93.7241439819336,126.44999694824219,126.76000213623047,126.01000213623047,126.47000122070312,6136400
2012-01-30,93.56107330322266,126.2300033569336,126.30999755859375,125.0,125.38999938964844,5910600
2012-01-31,93.44247436523438,126.06999969482422,126.91999816894531,125.37999725341797,126.87999725341797,5951700
2012-02-01,94.06507110595703,126.91000366210938,127.58999633789062,126.7699966430664,127.06999969482422,9891000
2012-02-02,94.01317596435547,126.83999633789062,127.16000366210938,126.4800033569336,127.0199966430664,4531500
2012-02-03,95.1472396850586,128.3699951171875,128.49000549316406,127.83000183105469,128.0399932861328,8654000
2012-02-06,94.96197509765625,128.1199951171875,128.19000244140625,127.68000030517578,127.83000183105469,3852400
2012-02-07,95.2509994506836,128.50999450683594,128.75999450683594,127.55000305175781,127.94999694824219,5739300
2012-02-08,95.39922332763672,128.7100067138672,128.8000030517578,128.02999877929688,128.6199951171875,4884400
2012-02-09,95.43633270263672,128.75999450683594,129.1199951171875,128.3000030517578,128.9600067138672,5416600
2012-02-10,94.76181030273438,127.8499984741211,127.91999816894531,127.30000305175781,127.76000213623047,6380600
2012-02-13,95.31029510498047,128.58999633789062,128.77000427246094,128.0800018310547,128.67999267578125,4654100
2012-02-14,95.3621826171875,128.66000366210938,128.69000244140625,127.77999877929688,128.3800048828125,5608500
2012-02-15,94.76922607421875,127.86000061035156,129.0399932861328,127.56999969482422,129.0,9589200
2012-02-16,95.66609191894531,129.07000732421875,129.17999267578125,127.94999694824219,127.9800033569336,8699000
2012-02-17,96.03170776367188,129.22999572753906,129.38999938964844,128.86000061035156,129.30999755859375,5765200
2012-02-21,96.12088012695312,129.35000610351562,129.75,128.9600067138672,129.6199951171875,6589200
2012-02-22,95.96475219726562,129.13999938964844,129.5,128.85000610351562,129.22999572753906,6092200
2012-02-23,96.291748046875,129.5800018310547,129.69000244140625,128.5500030517578,128.99000549316406,12890500
2012-02-24,96.3215103149414,129.6199951171875,129.89999389648438,129.25,129.77000427246094,3769100
2012-02-27,96.35121154785156,129.66000366210938,130.0399932861328,128.57000732421875,128.92999267578125,5778600
2012-02-28,96.49986267089844,129.86000061035156,130.0399932861328,129.33999633789062,129.63999938964844,4953700
2012-02-29,96.07627868652344,129.2899932861328,130.3699951171875,129.08999633789062,130.02000427246094,7724200
2012-03-01,96.28435516357422,129.57000732421875,130.16000366210938,129.22999572753906,129.60000610351562,6684300
2012-03-02,96.26945495605469,129.5500030517578,129.7899932861328,129.0800018310547,129.5399932861328,3818700
2012-03-05,96.17291259765625,129.4199981689453,129.58999633789062,128.63999938964844,129.4199981689453,5286400
2012-03-06,94.70893859863281,127.44999694824219,129.4600067138672,127.18000030517578,127.93000030517578,14410100
2012-03-07,95.28858184814453,128.22999572753906,128.4499969482422,127.45999908447266,127.63999938964844,5736200
2012-03-08,95.8012924194336,128.9199981689453,129.27000427246094,128.5500030517578,128.82000732421875,4417000
2012-03-09,95.97218322753906,129.14999389648438,129.58999633789062,128.94000244140625,129.22000122070312,6248400
2012-03-12,96.20259857177734,129.4600067138672,129.6699981689453,129.10000610351562,129.1699981689453,5197000
2012-03-13,97.85230255126953,131.67999267578125,131.77000427246094,129.85000610351562,130.0500030517578,8699500
2012-03-14,98.00088500976562,131.8800048828125,132.1699981689453,131.6199951171875,131.7899932861328,5124600
2012-03-15,98.3947525024414,132.41000366210938,132.49000549316406,131.6699981689453,132.00999450683594,5716900
2012-03-16,98.31661224365234,132.0500030517578,132.61000061035156,132.02000427246094,132.52999877929688,5047200
2012-03-19,98.33148956298828,132.07000732421875,132.39999389648438,131.77999877929688,131.91000366210938,4424000
2012-03-20,97.81773376464844,131.3800048828125,131.6999969482422,130.9199981689453,131.36000061035156,5403700
2012-03-21,97.52735137939453,130.99000549316406,131.61000061035156,130.80999755859375,131.52999877929688,5031900
2012-03-22,96.91683959960938,130.1699981689453,130.5500030517578,129.86000061035156,130.24000549316406,6987900
2012-03-23,97.23702239990234,130.60000610351562,130.7100067138672,129.7100067138672,130.22000122070312,4373300
2012-03-26,98.34627532958984,132.08999633789062,132.13999938964844,131.33999633789062,131.38999938964844,4991500
2012-03-27,98.03361511230469,131.6699981689453,132.35000610351562,131.64999389648438,132.22000122070312,5777300
2012-03-28,97.51990509033203,130.97999572753906,131.86000061035156,130.41000366210938,131.72999572753906,5293700
2012-03-29,97.631591796875,131.1300048828125,131.24000549316406,130.0399932861328,130.27000427246094,4487400
2012-03-30,98.13043212890625,131.8000030517578,131.97000122070312,131.17999267578125,131.7100067138672,4218500
2012-04-02,98.50270080566406,132.3000030517578,132.67999267578125,131.22999572753906,131.55999755859375,8683800
2012-04-03,98.03361511230469,131.6699981689453,132.39999389648438,131.0500030517578,132.14999389648438,6098700
2012-04-04,97.16997528076172,130.50999450683594,130.77000427246094,129.9499969482422,130.66000366210938,10402500
2012-04-05,97.08061981201172,130.38999938964844,130.7100067138672,129.92999267578125,130.10000610351562,4179800
2012-04-09,96.13508605957031,129.1199951171875,129.58999633789062,128.83999633789062,128.9600067138672,5360200
2012-04-10,94.5640640258789,127.01000213623047,129.07000732421875,126.91999816894531,128.8699951171875,12912700
2012-04-11,95.18949890136719,127.8499984741211,128.2899932861328,127.73999786376953,128.1699981689453,5603300
2012-04-12,96.5818099975586,129.72000122070312,129.7899932861328,128.0399932861328,128.1199951171875,7164600
2012-04-13,95.5989761352539,128.39999389648438,129.36000061035156,128.27000427246094,129.32000732421875,8826800
2012-04-16,96.09789276123047,129.07000732421875,129.6999969482422,128.67999267578125,129.22999572753906,7503100
2012-04-17,97.49012756347656,130.94000244140625,131.1300048828125,129.80999755859375,129.8300018310547,6290900
