ts,ny,cet,ny_min,desde_apertura,dow,nas,dur_min,c9
2023-09-18 13:00:00.507000+00:00,2023-09-18 09:00:00.507000-04:00,2023-09-18 15:00:00.507000+02:00,540,-30,0,-1.0,37.78163333333334,-NASDAQ 100 (Mini)
2023-09-19 14:00:00.199000+00:00,2023-09-19 10:00:00.199000-04:00,2023-09-19 16:00:00.199000+02:00,600,30,1,-1.0,225.22215,-NASDAQ 100 (Mini)
2023-09-25 13:00:00.420000+00:00,2023-09-25 09:00:00.420000-04:00,2023-09-25 15:00:00.420000+02:00,540,-30,0,-1.0,56.18508333333333,-NASDAQ 100 (Mini)
2023-09-26 14:00:00.196000+00:00,2023-09-26 10:00:00.196000-04:00,2023-09-26 16:00:00.196000+02:00,600,30,1,-1.0,578.2346666666667,-NASDAQ 100 (Mini)
2023-09-27 15:00:00.308000+00:00,2023-09-27 11:00:00.308000-04:00,2023-09-27 17:00:00.308000+02:00,660,90,2,-1.0,64.99641666666666,-NASDAQ 100 (Mini)
2023-10-06 17:00:00.248000+00:00,2023-10-06 13:00:00.248000-04:00,2023-10-06 19:00:00.248000+02:00,780,210,4,1.0,3180.07455,+NASDAQ 100 (Mini)
2023-10-11 15:21:25.351000+00:00,2023-10-11 11:21:25.351000-04:00,2023-10-11 17:21:25.351000+02:00,681,111,2,1.0,56.06225,+NASDAQ 100 (Mini)
2023-10-11 22:03:00.215000+00:00,2023-10-11 18:03:00.215000-04:00,2023-10-12 00:03:00.215000+02:00,1083,513,2,1.0,1146.2149166666668,+NASDAQ 100 (Mini)
2023-10-18 23:00:00.417000+00:00,2023-10-18 19:00:00.417000-04:00,2023-10-19 01:00:00.417000+02:00,1140,570,2,-1.0,566.6987666666666,-NASDAQ 100 (Mini)
2023-10-19 19:00:00.060000+00:00,2023-10-19 15:00:00.060000-04:00,2023-10-19 21:00:00.060000+02:00,900,330,3,-1.0,1260.0007333333333,-NASDAQ 100 (Mini)
2023-10-25 19:00:00.270000+00:00,2023-10-25 15:00:00.270000-04:00,2023-10-25 21:00:00.270000+02:00,900,330,2,-1.0,689.9996166666666,-NASDAQ 100 (Mini)
2023-11-01 22:03:00.371000+00:00,2023-11-01 18:03:00.371000-04:00,2023-11-01 23:03:00.371000+01:00,1083,513,2,1.0,1046.99755,+NASDAQ 100 (Mini)
2023-11-07 14:00:00.233000+00:00,2023-11-07 09:00:00.233000-05:00,2023-11-07 15:00:00.233000+01:00,540,-30,1,1.0,209.99878333333334,+NASDAQ 100 (Mini)
2023-11-09 13:00:00.329000+00:00,2023-11-09 08:00:00.329000-05:00,2023-11-09 14:00:00.329000+01:00,480,-90,3,1.0,127.66753333333332,+NASDAQ 100 (Mini)
2023-11-09 16:00:00.054000+00:00,2023-11-09 11:00:00.054000-05:00,2023-11-09 17:00:00.054000+01:00,660,90,3,1.0,122.03721666666667,+NASDAQ 100 (Mini)
2023-11-10 18:00:00.148000+00:00,2023-11-10 13:00:00.148000-05:00,2023-11-10 19:00:00.148000+01:00,780,210,4,1.0,230.0186833333333,+NASDAQ 100 (Mini)
2023-11-20 14:00:00.361000+00:00,2023-11-20 09:00:00.361000-05:00,2023-11-20 15:00:00.361000+01:00,540,-30,0,1.0,83.94281666666667,+NASDAQ 100 (Mini)
2023-11-22 18:30:00.228000+00:00,2023-11-22 13:30:00.228000-05:00,2023-11-22 19:30:00.228000+01:00,810,240,2,1.0,67.74925,+NASDAQ 100 (Mini)
2023-11-29 13:00:00.243000+00:00,2023-11-29 08:00:00.243000-05:00,2023-11-29 14:00:00.243000+01:00,480,-90,2,1.0,190.58326666666665,+NASDAQ 100 (Mini)
2023-12-04 14:30:00.196000+00:00,2023-12-04 09:30:00.196000-05:00,2023-12-04 15:30:00.196000+01:00,570,0,0,-1.0,149.99821666666668,-NASDAQ 100 (Mini)
2023-12-08 16:00:00.061000+00:00,2023-12-08 11:00:00.061000-05:00,2023-12-08 17:00:00.061000+01:00,660,90,4,1.0,16.912116666666666,+NASDAQ 100 (Mini)
2023-12-15 15:30:00.080000+00:00,2023-12-15 10:30:00.080000-05:00,2023-12-15 16:30:00.080000+01:00,630,60,4,1.0,149.60846666666666,+NASDAQ 100 (Mini)
2023-12-20 16:00:00.196000+00:00,2023-12-20 11:00:00.196000-05:00,2023-12-20 17:00:00.196000+01:00,660,90,2,1.0,202.14913333333334,+NASDAQ 100 (Mini)
2023-12-26 02:00:00.735000+00:00,2023-12-25 21:00:00.735000-05:00,2023-12-26 03:00:00.735000+01:00,1260,690,0,1.0,1139.9897333333333,+NASDAQ 100 (Mini)
2024-01-02 16:00:00.150000+00:00,2024-01-02 11:00:00.150000-05:00,2024-01-02 17:00:00.150000+01:00,660,90,1,-1.0,45.64053333333333,-NASDAQ 100 (Mini)
2024-01-10 18:00:00.205000+00:00,2024-01-10 13:00:00.205000-05:00,2024-01-10 19:00:00.205000+01:00,780,210,2,1.0,141.35878333333332,+NASDAQ 100 (Mini)
2024-01-12 14:30:00.124000+00:00,2024-01-12 09:30:00.124000-05:00,2024-01-12 15:30:00.124000+01:00,570,0,4,1.0,32.795766666666665,+NASDAQ 100 (Mini)
2024-01-19 00:00:00.119000+00:00,2024-01-18 19:00:00.119000-05:00,2024-01-19 01:00:00.119000+01:00,1140,570,3,1.0,750.0028166666667,+NASDAQ 100 (Mini)
2024-01-24 06:00:00.273000+00:00,2024-01-24 01:00:00.273000-05:00,2024-01-24 07:00:00.273000+01:00,60,-510,2,1.0,480.0019166666667,+NASDAQ 100 (Mini)
2024-01-25 17:00:00.162000+00:00,2024-01-25 12:00:00.162000-05:00,2024-01-25 18:00:00.162000+01:00,720,150,3,1.0,8.070283333333332,+NASDAQ 100 (Mini)
2024-01-31 15:00:00.071000+00:00,2024-01-31 10:00:00.071000-05:00,2024-01-31 16:00:00.071000+01:00,600,30,2,-1.0,38.0003,-NASDAQ 100 (Mini)
2024-02-01 16:30:00.322000+00:00,2024-02-01 11:30:00.322000-05:00,2024-02-01 17:30:00.322000+01:00,690,120,3,-1.0,33.85746666666667,-NASDAQ 100 (Mini)
2024-02-06 06:00:00.227000+00:00,2024-02-06 01:00:00.227000-05:00,2024-02-06 07:00:00.227000+01:00,60,-510,1,1.0,383.639,+NASDAQ 100 (Mini)
2024-02-07 15:00:00.052000+00:00,2024-02-07 10:00:00.052000-05:00,2024-02-07 16:00:00.052000+01:00,600,30,2,1.0,25.00115,+NASDAQ 100 (Mini)
2024-02-20 16:00:00.198000+00:00,2024-02-20 11:00:00.198000-05:00,2024-02-20 17:00:00.198000+01:00,660,90,1,-1.0,61.0005,-NASDAQ 100 (Mini)
2024-03-04 01:00:01.531000+00:00,2024-03-03 20:00:01.531000-05:00,2024-03-04 02:00:01.531000+01:00,1200,630,6,1.0,1044.12745,+NASDAQ 100 (Mini)
2024-03-07 23:30:00.160000+00:00,2024-03-07 18:30:00.160000-05:00,2024-03-08 00:30:00.160000+01:00,1110,540,3,1.0,840.1261666666667,+NASDAQ 100 (Mini)
2024-03-15 17:30:00.349000+00:00,2024-03-15 13:30:00.349000-04:00,2024-03-15 18:30:00.349000+01:00,810,240,4,-1.0,200.02041666666668,-NASDAQ 100 (Mini)
2024-03-19 15:00:01.614000+00:00,2024-03-19 11:00:01.614000-04:00,2024-03-19 16:00:01.614000+01:00,660,90,1,-1.0,78.36445,-NASDAQ 100 (Mini)
2024-03-21 11:30:00.424000+00:00,2024-03-21 07:30:00.424000-04:00,2024-03-21 12:30:00.424000+01:00,450,-120,3,1.0,137.65925000000001,+NASDAQ 100 (Mini)
2024-04-02 15:30:00.438000+00:00,2024-04-02 11:30:00.438000-04:00,2024-04-02 17:30:00.438000+02:00,690,120,1,-1.0,250.05806666666666,-NASDAQ 100 (Mini)
2024-04-10 14:00:00.175000+00:00,2024-04-10 10:00:00.175000-04:00,2024-04-10 16:00:00.175000+02:00,600,30,2,-1.0,1350.9988666666666,-NASDAQ 100 (Mini)
2024-04-17 17:30:00.105000+00:00,2024-04-17 13:30:00.105000-04:00,2024-04-17 19:30:00.105000+02:00,810,240,2,-1.0,74.39306666666667,-NASDAQ 100 (Mini)
2024-04-22 15:30:00.156000+00:00,2024-04-22 11:30:00.156000-04:00,2024-04-22 17:30:00.156000+02:00,690,120,0,-1.0,44.962983333333334,-NASDAQ 100 (Mini)
2024-04-26 15:30:00.138000+00:00,2024-04-26 11:30:00.138000-04:00,2024-04-26 17:30:00.138000+02:00,690,120,4,1.0,320.00526666666667,+NASDAQ 100 (Mini)
2024-05-03 15:00:00.075000+00:00,2024-05-03 11:00:00.075000-04:00,2024-05-03 17:00:00.075000+02:00,660,90,4,1.0,101.00153333333333,+NASDAQ 100 (Mini)
2024-05-09 18:00:00.209000+00:00,2024-05-09 14:00:00.209000-04:00,2024-05-09 20:00:00.209000+02:00,840,270,3,1.0,900.0005833333333,+NASDAQ 100 (Mini)
2024-05-13 14:30:00.379000+00:00,2024-05-13 10:30:00.379000-04:00,2024-05-13 16:30:00.379000+02:00,630,60,0,1.0,60.36598333333333,+NASDAQ 100 (Mini)
2024-05-13 17:30:00.187000+00:00,2024-05-13 13:30:00.187000-04:00,2024-05-13 19:30:00.187000+02:00,810,240,0,1.0,295.03319999999997,+NASDAQ 100 (Mini)
2024-05-15 00:00:00.178000+00:00,2024-05-14 20:00:00.178000-04:00,2024-05-15 02:00:00.178000+02:00,1200,630,1,1.0,750.31645,+NASDAQ 100 (Mini)
2024-05-20 15:30:00.125000+00:00,2024-05-20 11:30:00.125000-04:00,2024-05-20 17:30:00.125000+02:00,690,120,0,1.0,1290.04035,+NASDAQ 100 (Mini)
2024-05-22 01:00:00.836000+00:00,2024-05-21 21:00:00.836000-04:00,2024-05-22 03:00:00.836000+02:00,1260,690,1,1.0,997.0509999999999,+NASDAQ 100 (Mini)
2024-05-22 18:55:00.144000+00:00,2024-05-22 14:55:00.144000-04:00,2024-05-22 20:55:00.144000+02:00,895,325,2,-1.0,37.560833333333335,-NASDAQ 100 (Mini)
2024-05-23 00:30:00.261000+00:00,2024-05-22 20:30:00.261000-04:00,2024-05-23 02:30:00.261000+02:00,1230,660,2,1.0,151.00016666666667,+NASDAQ 100 (Mini)
