ms,dir,tod,transc,pos,rbp,rbp_rel,vol30,dow,r15,r30,r60,r120,fwd75,fwd240,tomada
1682443800000,-1,810,810,0.1577959430820439,129.02627002983397,0.8990165182829438,5.959588957615362,1,-9.372663029739714,-18.73088652225463,-19.968298668986417,-52.61350392025022,32.26789588115175,-30.000658608209108,False
1682444100000,-1,815,815,0.10130184680593157,129.1203887543996,0.8996723094489186,5.951833433122063,1,-5.454246103243632,-33.910167198474284,-14.591212998218417,-51.073234086149725,11.516459741763851,-37.317082381154165,False
1682444400000,-1,820,820,0.09069330911293375,129.13807781079376,0.8997955615113669,5.910733159338347,1,-0.9788982531422352,-28.663435734045393,-15.36657542648534,-49.572261070719435,22.551269537167684,-38.692160861240055,False
1682444700000,-1,825,825,0.10517711171662633,129.11392820702667,0.8996272942841458,5.555874672092493,1,-6.789211544409035,-16.155511274943414,-23.63093929356852,-47.331673962498485,25.103531545429547,-36.81486454295335,False
1682445000000,-1,830,830,0.04165909778989424,129.21990222791044,0.9003656896145024,3.7390220229022604,1,-7.7010949393319095,-13.151140675868866,-26.66467104325165,-58.433410531500975,16.931993243791688,-45.052872965687385,False
1682445300000,-1,835,835,0.011248728534668873,130.8405903162926,0.9116581602261311,2.8600104015912735,1,-11.790154025015376,-12.767898142039824,-29.536196632389267,-51.89175953718483,6.544769550912433,-50.54190457021601,False
1682445600000,-1,840,840,0.03955005085861673,130.79215848068486,0.9113207016588792,2.8367664595468987,1,-9.960105633408656,-16.742555051402206,-35.442081283780794,-46.20798156416805,7.497091355501695,-62.14447020254532,False
1682445900000,-1,845,845,0.017459462693709564,130.82995886288953,0.9115840834337035,2.9318076750699977,1,-4.649256185518258,-12.346770688521636,-46.21506978115586,-43.64722177039426,3.9124521892941466,-83.95724734017173,False
1682446200000,-1,850,850,0.00861321463668295,135.49448830603208,0.9440851316189502,3.254795563656053,1,-4.892919819762254,-16.67730501694664,-45.292937864934714,-49.854733888961,-3.5246268418820392,-104.7049147161716,False
1682446500000,-1,855,855,0.02334381315966467,139.53947117423263,0.9722693642860107,3.2325870694362937,1,-10.519405219275857,-20.469033413965665,-36.59147591889899,-49.15069087318091,4.119124968752219,-94.53462309419125,False
1682446800000,-1,860,860,0.02284454955923469,145.8334427502217,1.016123878650482,3.5080519697374664,1,-13.7601209650684,-18.402979717835333,-31.5299183761919,-59.903853069125375,-6.176991662392162,-102.05362240191195,False
1682447100000,-1,865,865,0.04125919127343407,148.60960399227008,1.0354673411363873,3.765930132008703,1,-8.036149199489584,-12.925136995882713,-25.676532454659284,-59.756552630529924,2.6040505135627168,-96.58189758462,False
1682447400000,-1,870,870,0.13251258030825494,148.40834550551148,1.0340650321027405,3.8812797738342764,1,7.44388083930847,-3.083354899862112,-19.820747627349313,-39.74946763548925,23.703751948533913,-88.45069130333005,False
1682447700000,-1,875,875,0.1114662784441549,148.4547145463949,1.0343881177323684,3.601111176412519,1,10.456988423392932,-3.3175214842384726,-15.660196105058422,-30.22855897758081,22.475484048648518,-95.76708062788208,False
1682448000000,-1,880,880,0.17644080134189516,148.31165647070526,1.0333913317825845,3.2738920898072394,1,20.089285539310886,12.036992290231918,-4.660387185906334,-20.019801193271736,27.754749650640285,-86.3606269641326,False
1682448300000,-1,885,885,0.04847506619826124,148.59366957515067,1.0353563148764153,3.798412352865792,1,-12.47186842946002,-5.037271500395457,-25.495994106494724,-49.066683971167315,26.890483356986074,-105.14784083323292,False
1682448600000,-1,890,890,0.13942251901551353,148.3931279004852,1.0339590003753707,3.704294641074976,1,4.1502357138112345,14.611564033886193,-3.8183053156060076,-30.472794973339656,-53.93068177539817,-87.25812108792309,False
1682448900000,-1,895,895,0.05575423827156477,148.57759884424377,1.0352443388226795,3.546591246900548,1,-17.899224082716934,2.1541031942406974,-10.77381800952959,-40.27819288119794,-57.08711510065356,-98.81975395062969,False
1682449200000,-1,900,900,0.05112299690898489,148.58782315335532,1.03531557875527,3.3490932438644907,1,0.3934657410864517,-12.078893413668412,-15.158523962011117,-50.54688028195198,-62.07422431320442,-96.72449523349114,False
1682449500000,-1,905,905,0.051017501661543486,148.58805606972712,1.0353172016469925,3.6500998095419446,1,-13.118697047251882,-8.973905901941137,-12.28845027361758,-58.446728896083265,-62.08999695036521,-88.34618096749568,False
1682449800000,-1,910,910,0.08424850460486691,148.51472350724694,1.0348062422510302,3.9314718144859473,1,4.233609672630312,-13.673192242907861,-1.6526583636367054,-46.93811085331401,-57.12406050230712,-84.08016200922575,False
1682450100000,-1,915,915,0.10276292053043075,148.47389818344087,1.0345217835864697,3.859634149384497,1,7.673063838715688,8.066831488577897,3.025496506148251,-33.577050151005764,-54.35945012138621,-82.97628209711583,False
1682450400000,-1,920,920,0.10745745904146779,148.463550030035,1.0344496807438204,3.3893287487420602,1,8.386303551741747,-4.7433952330755424,9.861237958490587,-21.699772820491514,-53.658693589360155,-82.93917451910548,False
1682450700000,-1,925,925,0.11911468388348415,148.437860290581,1.0342706823110657,3.5957198502623684,1,5.178140975317103,9.413942870719616,11.570073925402102,-14.136166467121347,-51.919035118674906,-83.36328863045361,False
1682451000000,-1,930,930,0.05465708769819525,148.58002087684682,1.0352612148225628,3.7324278833601743,1,-7.1424605259629015,0.5251228571956368,-11.55440484677528,-31.352250779880244,-61.5458695417237,-91.2725323676189,False
1682451300000,-1,935,935,0.0826660758932746,148.51821389264305,1.034830562214132,3.769001672143752,1,-3.6806167523351085,4.702600122470368,-4.275525848569384,-19.929026396303673,-57.36042251489826,-91.06221678683025,False
1682451600000,-1,940,940,0.023736430673798332,148.64831276378936,1.0357370522966822,3.444205927433336,1,-14.157743824698699,-8.986933928722962,-22.647838164101543,-27.297670580531673,-66.1704613874825,-99.86100533593057,False
1682451900000,-1,945,945,0.025032542304996522,156.73173144307347,1.0920598996919684,3.3722911803259565,1,-12.163401187922362,-19.297174052600454,-11.245909269151921,-36.71323081200217,-73.79903545720046,-105.2332657646482,False
1682452200000,-1,950,950,0.012956843897064889,156.7614008130966,1.0922666270020864,3.857421423530526,1,-18.207742967649708,-21.881658147605563,-26.614674045386533,-30.422817065853813,-75.7060090379147,-109.56188822223156,False
1682452500000,-1,955,955,0.06985436893204484,161.60412966017083,1.1260093154180064,4.0405774257501195,1,-5.118503791088358,-19.26900096924311,-9.873197825952529,-20.636378631827547,-71.32547314904203,-104.24878438000329,False
1682452800000,-1,960,960,0.0033885716938196566,169.30851504022675,1.179691171975484,4.269789290299695,1,-15.662187641952707,-27.806538282698632,-27.282875610386004,-42.400042760029066,-89.60155874175646,-119.81192553443209,False
1682460600000,1,1090,1090,0.8275264502006571,169.97146497838176,1.184310409166935,4.862533816075848,1,48.97134852854812,48.97134852854812,48.97134852854812,53.26262197510534,-17.603301576335497,-3.2245589853618917,False
1682469600000,1,1240,1240,0.8093305363006216,170.02404978088222,1.1846768043672893,0.9905284143917436,1,9.973495339117289,18.7837644574973,12.352994743378698,3.0481493583889296,2.6285184638674686,-7.266806797456837,False
1682469900000,1,1245,1245,0.8040860999635199,170.03921184250748,1.1847824490848278,1.0805022758357619,1,5.454339920516471,15.634078376516314,13.720883985228749,2.544101179524638,3.915988780576196,-6.375695000770953,False
1682470200000,1,1250,1250,0.8139365195184263,170.01073576549592,1.1845840362840596,1.416880064319849,1,4.981543389499521,14.721583868497756,13.004941986640706,8.43631909864806,-0.953635557239263,-8.049304353873188,False
1682470500000,1,1255,1255,0.8332725282743538,169.9548660082431,1.184194752499981,1.4786240346440602,1,4.07071443519591,14.04826969945816,17.206405515739487,12.696058455881065,-4.200818012425334,-11.332907929462177,False
1682470800000,1,1260,1260,0.8141098139365239,170.01023488284608,1.1845805462833348,1.4919073958488323,1,1.7044244237052197,7.159693995237859,16.687688069461082,12.201209889919351,-3.124504043131582,-8.078742463878408,False
1682471100000,1,1265,1265,0.8079168186793177,170.02813667911107,1.1847052806536722,1.479433916850059,1,-1.0234137687448186,3.957619802745782,22.490336110845277,19.47695934753746,-1.6128170571527711,-7.02660969803981,False
1682471400000,1,1270,1270,0.8310835461510432,169.96118904314503,1.1842388095189214,1.4220259903543107,1,-0.37202816346115775,3.6985348296925125,22.489246527896967,22.71503913488848,-4.007202423171874,-10.96128755676773,False
1682471700000,1,1275,1275,0.8233765049252109,169.98345514008003,1.1843939530330108,1.4021082445725095,1,1.5754323115735325,3.2801252558090077,18.91933180586003,19.744212254475535,0.9224749708902635,-9.652654065140931,False
1682472000000,1,1280,1280,0.8339474644290468,169.95291650070823,1.184181168913662,1.1650966450418587,1,4.425942193380106,3.4020754676178377,18.12866773004851,20.88305790474143,-0.9688122292317303,-11.447485300599691,False
1682472300000,1,1285,1285,0.8279824881430156,169.97014748134737,1.184301229241045,1.0542669029331402,1,-0.5270595063366912,-0.8990680616993707,13.147938602697806,17.71199397062162,3.023000616459992,-10.434778025327773,False
1682472600000,1,1290,1290,0.8280189711784033,169.97004208246696,1.184300494853122,1.1695060651690725,1,0.7891424540895642,2.3646990897141507,9.526086137139345,19.453172320171852,1.309966121485484,-10.440972577757668,False
1682472900000,1,1295,1295,0.8331265961328032,169.95528752926634,1.1841976895325916,1.3305876725243706,1,-0.13950896101011523,4.286371486510454,8.245687672123747,16.363459784107803,2.086463124901794,-11.308134098194644,False
1682473200000,1,1300,1300,0.8406147391463011,169.9336609304231,1.1840470018502316,1.6084912956090607,1,2.1471055660504668,1.619932894474374,5.319066861988464,17.678632245865522,-0.038748098535323905,-12.579182708056802,False
1682473500000,1,1305,1305,0.835817219992709,169.94751607150198,1.1841435403356901,1.6743411588042714,1,1.32546867913641,2.114715731587058,5.3955346406442395,19.123821776356742,4.64395073103141,-11.764881858653542,False
1682473800000,1,1310,1310,0.8300346588836245,169.96421899743808,1.1842599213355962,1.6296523788943804,1,-0.5254910842067417,-0.6649927141444412,2.736856517933095,15.745357770597934,5.038158625880751,-10.783209662040827,False
1682474100000,1,1315,1315,0.8247902225465146,169.97937038952767,1.1843654917109963,1.625658772266172,1,-2.689118038256,-0.5425898542366081,-1.4416091334157333,15.762315891187928,5.604482159415891,-9.892724940309128,False
1682474400000,1,1320,1320,0.8271160160525353,169.972650743176,1.1843186712219147,1.5253552721344266,1,-1.4787479964639694,-0.15347532074216907,2.2111874766772566,18.902565506826452,0.3023045138172975,-10.287655147133146,False
1682474700000,1,1325,1325,0.8083272528274396,170.02695014003018,1.1846970132036942,1.4019125305323428,1,-3.689482316799886,-4.214779522000445,0.06978535343371561,22.560278413885637,5.999947738888345,-7.096345529375991,False
1682475000000,1,1330,1330,0.8085552717986146,170.02629095880766,1.1846924202257878,0.9940066416963896,1,-2.7596067064328267,-5.447982653872252,-3.8289322960294303,18.651703251635343,5.784367614707353,-7.135087237335469,False
1682475900000,1,1345,1345,0.8075063845311959,170.0293232347527,1.1847135482190403,0.7502592799684665,1,-0.17833841171266407,-2.9378959037584806,-3.480326350744356,9.66303634023502,3.8924990999578135,-6.9568728933877555,False
1682476200000,1,1350,1350,0.8288033564392592,169.9677760381547,1.1842847057330659,0.8663781684977144,1,5.624313974459394,0.28680171823669554,0.1333219957966314,9.659535136616881,-2.2245873642356973,-10.57415359682845,False
1682476500000,1,1355,1355,0.8282469901495866,169.9693833424259,1.1842959049492363,0.8272373639232482,1,5.070335983046181,3.3868921844759647,-0.8293148379068249,7.415689007101989,-1.5564507558918361,-10.479688356391792,False
1682476800000,1,1360,1360,0.8457679678949294,169.9187810233692,1.1839433231014864,0.8878831001897125,1,6.505591125225418,6.327136693833335,0.8757070268661238,6.19523968327762,-5.751264104139064,-13.453711583946149,False
1682477100000,1,1365,1365,0.8357260124042356,169.9477794991104,1.184145375820598,0.9736234680814011,1,1.1766284386438564,6.801604185879828,-0.015500503107723773,5.380025774184283,-11.749399567705376,-11.749399567705376,False
1682477400000,1,1370,1370,0.8454031375410442,169.9198343824035,1.1839506625926712,0.9525550622263935,1,2.9160197926580977,7.987834295710705,2.612091472187217,5.349662882077055,-13.39180307276755,-13.39180307276755,False
1682477700000,1,1375,1375,0.8403867201751177,169.93431939359832,1.1840515898249988,0.9403184164940867,1,-0.9143750529350125,5.590621217268499,2.6510828471915104,1.2090915312512607,-12.540483201509689,-12.540483201509689,False
1682478000000,1,1380,1380,0.8631430134987297,169.8686299166939,1.1835938851668637,0.9030555184878504,1,4.659458456532928,5.83663514031052,6.1236042542467395,8.336145774627823,-16.401215945806015,-16.401215945806015,False
1682478300000,1,1385,1385,0.8596771251368169,169.8786314481997,1.1836635728516258,0.9312873302973331,1,2.42543360825076,5.342160662149542,8.73086217884289,8.800708460907636,-15.813401245533543,-15.813401245533543,False
1682478600000,1,1390,1390,0.857761765778918,169.8841591156346,1.1837020879875775,0.8420738922705843,1,2.952616549114495,2.037971516288817,8.36639766255809,4.534261929507455,-15.488526582633222,-15.488526582633222,False
1682478900000,1,1395,1395,0.8288945640277325,169.9675125485514,1.1842828698161965,0.8333197685447561,1,-5.817737188409389,-1.1609894823494393,5.63982504443894,0.937978751913704,-10.5896395313676,-10.5896395313676,False
1682479200000,1,1400,1400,0.8436154688070063,169.92499603045883,1.1839866274148911,0.8796824168052799,1,-2.7285321960990316,-0.3037603752187312,7.68383128173955,1.6431055407761797,-13.088440272502888,-13.088440272502888,False
1682479500000,1,1405,1405,0.8425757022984367,169.9279983577544,1.1840075467348976,0.8825844166716925,1,-2.5798716246583364,0.3719831872905921,5.962812366269166,2.480410762224494,-12.91198608462718,-12.91198608462718,False
1682479800000,1,1410,1410,0.828566216709235,169.96846111494662,1.1842894791435665,0.8112725808160413,1,-0.0558083769774953,-5.873513097539584,-0.040306112522037196,0.09301534590555605,-10.533889942321295,-10.533889942321295,False
1682480100000,1,1415,1415,0.824097044874132,169.98137321042927,1.1843794467689335,0.8921257061172401,1,-3.3166681093144135,-6.044295341841588,-0.7053636393739016,-1.5346199804278093,-9.775014210978705,-9.775014210978705,False
1682480400000,1,1420,1420,0.8303994892375096,169.9631650880396,1.184252578009638,0.9299829640837108,1,-2.0690795130207107,-4.648417341727162,-2.611393159652753,-1.7359148143203385,-10.845150519481761,-10.845150519481761,False
1682480700000,1,1425,1425,0.8157150674936151,170.005595268063,1.1845482188330605,0.9892121795320107,1,-2.1842900557378364,-2.2400862425464574,-3.400815653239464,-3.4163108849116774,-8.351424079841019,-8.351424079841019,False
1682481000000,1,1430,1430,0.8190897482670545,169.9958423581596,1.1844802634693778,0.9310928397498865,1,-0.8511471533434456,-4.167532965395626,-4.471166747476163,-1.8602431849423784,-8.924626674694514,-8.924626674694514,False
1682481300000,1,1435,1435,0.811920831813205,170.01656203840525,1.1846246320137843,0.9234820718433948,1,-3.1406911024123296,-5.209120781471954,-4.837331364715425,-2.187530934144588,-7.706879909985531,-7.706879909985531,False
1682522700000,1,685,685,0.931664910432025,88.2249926343605,0.6147254019304863,3.1154664464882353,2,14.763114775147024,37.79207731924083,67.31453697779833,46.15129933520423,-18.506485985682055,-85.73039765470858,False
