fecha,tod,dir,bp,pos
2016-07-22,215,1,16.960894488358537,0.967131172371924
2016-07-25,125,1,-7.787220409159623,1.006289308176062
2016-07-25,250,1,1.5349679164304413,0.8710438015779844
2016-07-26,140,-1,3.66837615631539,0.006849315068789312
2016-07-26,220,-1,-9.779890056866458,0.038728374462089626
2016-07-27,130,1,-1.9907143115367893,0.848779207140984
2016-07-27,260,1,-5.689167368557335,0.9922087334661038
2016-07-28,125,1,-6.726096270720117,0.8519144144144462
2016-07-28,210,1,-9.884954279557201,0.9881638846738201
2016-07-29,125,1,-21.77562219649669,0.9805236961696292
2016-07-29,490,1,1.828102288921452,0.8068987543915674
2016-08-01,160,-1,7.5612870831691215,0.04549356223166115
2016-08-01,240,-1,9.477390513994832,0.14874400225798076
2016-08-03,130,-1,9.335686821187306,0.04029936672408888
2016-08-03,215,-1,-0.6315731015745115,0.15383489461357572
2016-08-04,135,-1,6.962203941929657,-0.01834215167537185
2016-08-04,225,-1,-3.8352892738054307,0.06672964616970876
2016-08-05,135,1,16.477195108200295,0.832991803278826
2016-08-05,220,1,-14.906938420598692,0.9130233419784844
2016-08-08,130,-1,-2.504902587236612,0.1541176470586731
2016-08-08,210,1,13.653235466036096,0.9331485971597697
2016-08-09,130,-1,-3.7028716587679695,0.15712468193402038
2016-08-09,215,-1,-5.128235218094401,0.09982622127820365
2016-08-10,150,-1,-13.849149396624894,0.07533302710180294
2016-08-10,245,1,6.217421931616185,0.8386581469648581
2016-08-11,130,1,-13.758296628431799,0.9273447820344394
2016-08-11,210,-1,-8.704004289496625,0.014957562265211393
2016-08-12,125,-1,-4.096076328660869,0.0209973753280677
2016-08-12,220,1,-2.0041262037447267,0.9422676837724451
2016-08-15,145,-1,-4.872446571610611,0.1772679874870724
2016-08-15,230,1,-12.103076699655091,0.9865083025831082
2016-08-16,135,-1,5.775413716393851,0.07877813504821624
2016-08-16,310,1,-11.292618115011521,1.0193086265960447
2016-08-17,130,1,-5.265152254501793,0.9371069182387707
2016-08-17,220,-1,6.098830564714008,0.033725645336706946
2016-08-18,125,-1,7.10275867304917,0.019971469329272597
2016-08-18,205,-1,2.991173414699633,0.15132712857634636
2016-08-19,140,1,-20.754739165378,0.9195121951219761
2016-08-19,220,-1,14.744024550576285,0.17549036625585368
2016-08-22,125,-1,1.2636975156070211,0.1522222222223968
2016-08-22,205,1,16.48196794798369,0.9886088788328212
2016-08-23,125,1,6.451098771702979,0.9965347964193713
2016-08-23,225,1,11.472748048291637,0.8047096116834305
2016-08-24,125,1,-6.850066307929215,0.9863317325454893
2016-08-24,210,1,4.730084736781892,0.8717521652232043
2016-08-25,125,-1,12.588420920926335,0.009254974549021758
2016-08-25,215,-1,8.48349624277307,0.09936714062634218
2016-08-26,125,1,-6.281921215711295,0.9924069855734495
2016-08-26,205,-1,-3.143788542016734,0.12400299102690035
2016-08-29,175,-1,2.3496793610182203,0.0823560767588828
2016-08-29,285,1,-0.5672568044253087,0.9075230449003867
2016-08-30,125,-1,5.359182296272147,0.1357943309163027
2016-08-30,210,1,-6.886239370179226,0.8326765686571269
2016-08-31,125,1,-7.212059041756413,0.9064914992271199
2016-08-31,220,1,3.182537580504308,0.9661091549296107
2016-09-01,125,1,14.22674527227481,1.0
2016-09-01,205,1,-5.19979732333935,0.8247422680411752
2016-09-02,135,1,-2.2853829461773496,0.9504752376187243
2016-09-02,215,1,-0.39790837380331257,0.8513513513513131
2016-09-05,155,-1,7.105942812001675,0.10360843158269592
2016-09-05,235,-1,-3.0965636526554703,0.11550192282191689
2016-09-06,130,1,3.811592930780661,0.9177358490563069
2016-09-06,210,1,0.05618622896759218,0.8780564263323769
2016-09-07,125,-1,7.076914096218312,0.0
2016-09-07,225,1,3.1620510956690944,0.8905995290707664
2016-09-08,125,1,4.590172816039528,0.8330605564650042
2016-09-08,205,1,0.8307427542856963,0.8680483077382757
2016-09-09,125,1,-14.15897199632159,0.9365079365076981
2016-09-09,210,-1,-2.90763722736691,0.0722891566264387
2016-09-12,130,-1,5.730267869235428,0.14265335235364612
2016-09-12,210,1,-34.17728839731087,0.8787351778655946
2016-09-13,130,-1,15.823269266869564,0.1718954248367417
2016-09-13,210,-1,3.1915854284251925,0.04109589041092306
2016-09-14,130,-1,6.8645534981585765,0.018439716311945114
2016-09-14,215,-1,-31.097244226107755,0.042919085764667735
2016-09-15,130,1,7.965837239185936,0.834778741383068
2016-09-15,245,1,3.3368513893665246,0.8361159237675045
2016-09-16,130,-1,-0.48937057550895136,0.14650145772593157
2016-09-16,210,1,-16.175686035587322,0.870512099043313
2016-09-19,125,1,-1.6396002702330654,0.981317229666116
2016-09-19,205,1,1.4594388213633018,0.8096523257660552
2016-09-20,130,1,-14.251719864714785,0.9004349927500774
2016-09-20,240,1,-2.6539409658761666,0.8053982407519236
2016-09-21,125,1,6.231615813916802,0.9659516513449395
2016-09-21,520,-1,-14.922610667480063,0.029631824579571985
